"","V101","race","gender","commonweight_vv"
"10957",302620466,3,1,0.544677789862614
"9276",302590952,1,1,0.386429407499722
"9561",302597824,1,2,0.395075341412839
"45975",303764942,1,2,0.141368953214814
"45246",303697117,1,1,0.405825858199697
"18204",302897331,1,2,1.23732076774322
"55357",304439846,1,2,1.00422334917288
"25525",303196473,1,1,0.832192552336334
"49513",304002119,2,2,3.11643206330126
"58121",304673638,1,1,0.827850825034512
"17243",302852160,1,2,1.73597731161383
"19623",302985140,1,1,1.25356490352359
"59433",304784070,1,1,1.66529994259415
"51607",304130840,2,2,0.431911748720717
"6816",302551140,1,1,1.34191286982307
"29451",303255966,1,2,1.30139308697177
"40895",303524816,1,2,1.08054285464507
"32891",303329004,1,1,0.781099894884791
"54041",304313733,1,2,0.600110769610723
"9030",302586973,1,2,0.879787240447461
"27183",303212347,3,2,0.288604490291836
"64209",305991078,2,2,0.577066789967762
"32257",303319932,1,2,0.0985467795263866
"12115",302647352,1,1,0.722401645779828
"2853",302482811,1,2,0.804904731697591
"33573",303335857,1,2,1.27797709497878
"7662",302564653,7,2,0.321995964046373
"22575",303131164,1,2,0.444286593977396
"59270",304758185,1,1,2.16089599051061
"46337",303792186,1,2,0.513331147540731
"30528",303289662,2,2,2.26915871460439
"8465",302576983,3,2,0.216787034375454
"61056",304960419,1,1,0.504452941202783
"20112",303014535,1,1,0.780773477304387
"55713",304482262,1,1,0.74567342017187
"35617",303371861,1,2,1.3023119011776
"33577",303335868,2,2,0.931119441288985
"31987",303316839,4,2,1.00202935136394
"34412",303348860,1,2,2.00701909685378
"1285",302328102,1,2,0.282324718544107
"23112",303152143,3,2,0.229466780581416
"8810",302583742,1,1,0.733586980833362
"60404",304956795,1,1,0.637460454705171
"37705",303450230,2,1,0.125084121619138
"46325",303789762,1,2,1.31553156729315
"60748",304957954,1,1,1.07420275961011
"58019",304673299,1,1,0.678967442018024
"26584",303207194,1,1,1.14635984884487
"51522",304127611,1,2,2.15116544007847
"9797",302601279,8,1,0.156558042205485
"8436",302576692,1,1,0.470601108166783
"23838",303178421,2,2,0.623740899656424
"18129",302894119,1,2,0.547682862372937
"2213",302474209,1,1,0.737252789973622
"31613",303311526,1,1,1.30469832308202
"3112",302487051,1,1,1.09784526016843
"12250",302652213,1,2,2.35405843972608
"16069",302798987,1,1,2.08848447531056
"15736",302788331,1,2,0.610967812208453
"46840",303812669,1,2,0.554781787942274
"45063",303690018,1,2,0.855947206082809
"36938",303424406,1,2,1.56289062843216
"17227",302852023,1,1,1.18866876652121
"37235",303436846,1,1,1.21700331606564
"9166",302589944,1,2,0.665295009817453
"33077",303329676,2,2,1.48199735940337
"43026",303620113,1,2,1.05795647591289
"10019",302604014,1,1,0.807449545230846
"35176",303363938,1,2,1.140401527206
"32555",303323319,1,2,0.0834831895330328
"26890",303208904,1,2,1.01647282799185
"58269",304674133,1,1,0.201487611631404
"22185",303117177,1,1,0.815318994226778
"44573",303665180,1,2,2.45342807641148
"5570",302535499,1,1,0.585816133014015
"3334",302509979,1,2,0.295348696586437
"57023",304588085,1,2,0.875566424969647
"45370",303703516,1,1,0.659336065249987
"14457",302738377,1,2,1.12230504585064
"38872",303474389,1,1,0.683241284494137
"20984",303061267,2,2,0.416479687647099
"63570",305431649,1,1,0.15592128338802
"50767",304090093,1,2,1.15196436369943
"5201",302531378,1,2,0.670423537854201
"56227",304484014,1,1,0.78608722873552
"61933",305182738,1,2,0.330240640927873
"31299",303302944,1,1,1.62343023766608
"58594",304675195,4,1,0.438124432942217
"49188",303983616,1,1,0.314343074456964
"38208",303463482,1,2,2.04721902014385
"11957",302643851,1,2,0.597420202244152
"56376",304494274,3,2,0.446558182743507
"54992",304388159,2,1,0.738124695490223
"31339",303304923,1,2,0.5988140186705
"48099",303878858,3,2,1.28398154048677
"35634",303374108,3,2,0.88421748682525
"55684",304478676,1,2,0.63448245170512
"53451",304255870,3,1,1.21077120819442
"10781",302616548,1,2,1.30653907832206
"44136",303650086,1,2,0.756066903579511
"10418",302610063,1,2,0.516523129064023
"15804",302790720,2,2,0.575103181924024
"61133",304961111,1,1,1.42238562525649
"51431",304124366,1,2,1.55473731283679
"38811",303473970,1,1,0.556402570118076
"62411",305272888,2,2,0.172400151852612
"42659",303609779,1,1,0.476190026317064
"17045",302842783,5,1,0.727810415141889
"34144",303344892,1,2,3.17311298003795
"9579",302597921,1,2,0.301099784749858
"29448",303255890,1,1,0.153030239672223
"38400",303466916,2,1,3.1710005982396
"26410",303204485,1,2,1.55833844128292
"23530",303169708,1,2,1.15386011999967
"47223",303828301,1,2,0.660665457704865
"14010",302718062,1,2,1.33828682090954
"43322",303626880,1,1,1.46293530767305
"4153",302518561,1,1,0.179779460468404
"39822",303498160,1,1,0.814434264344552
"9727",302600714,1,2,0.755224581648371
"15632",302785229,1,1,1.49718829772037
"6263",302544203,1,2,0.585556667641382
"64116",305840821,1,2,0.546203690149239
"11847",302641262,1,2,1.15097660874201
"34980",303360153,1,2,1.45173982202433
"37144",303433364,2,1,1.42288497758803
"44341",303657442,1,1,1.01903672771795
"45486",303712141,1,1,0.627574928353792
"39259",303482835,1,2,1.21533276296119
"29759",303268121,1,2,1.35066660201046
"15769",302790319,1,2,0.738812220654383
"8686",302581269,1,2,0.91739763071092
"18593",302918651,3,2,0.29438655225122
"46597",303801645,1,2,0.796406465303364
"59287",304761013,2,2,0.269865679500022
"7733",302565165,1,1,0.50015917316639
"3113",302487053,1,1,0.597906555211979
"61595",305078979,1,1,0.269161145580783
"55137",304409925,1,2,0.166258240714523
"11835",302641206,1,2,0.501150050593022
"4179",302518703,1,1,0.639844759705932
"44731",303672575,1,2,0.933391289745218
"54509",304349304,3,1,0.110082574175703
"34589",303352753,1,1,1.80101424645754
"29321",303252012,1,2,0.934722981946688
"45189",303694050,4,1,0.310422798181571
"61434",305046859,1,2,0.616022390466174
"16771",302830467,1,1,0.131172322071004
"38178",303463234,1,2,0.146997549181944
"46042",303768448,1,2,1.06885714956205
"10065",302604712,1,2,0.679083897138002
"16890",302835399,3,1,2.45983154044317
"60527",304957213,1,1,0.42891032156368
"51941",304150382,1,1,1.11839799614967
"63767",305693910,2,1,0.825435833728978
"2558",302478672,1,1,1.05266989713903
"49401",303995668,1,2,0.778219033672102
"45960",303764729,1,2,0.891742246347843
"25010",303192244,2,1,0.458535870581582
"16479",302816141,1,2,0.716237272045533
"59990",304955346,1,1,0.815459446679237
"42338",303598927,1,1,0.870819770475522
"53708",304272490,1,2,1.02643266814596
"32101",303317207,1,2,1.02439955296105
"45223",303695098,1,2,1.08840653764016
"846",301957781,1,1,0.943370730507536
"31353",303305335,5,2,0.651137779459248
"19816",302997264,1,1,0.991909844293322
"14638",302745058,1,2,0.207177869648238
"60826",304958505,1,1,0.761336732546286
"19929",303003751,1,1,1.06912830851844
"55476",304451971,2,2,1.00921794763548
"35341",303367379,1,2,0.572341104474701
"31392",303305499,1,2,0.196152527385825
"12973",302676858,1,1,1.39243158874865
"21873",303102192,1,1,0.75346357102983
